"Step","race_SAC_dino_transformer - return_train","race_SAC_dino_transformer - return_train__MIN","race_SAC_dino_transformer - return_train__MAX","race_SAC_dino_bigger - return_train","race_SAC_dino_bigger - return_train__MIN","race_SAC_dino_bigger - return_train__MAX","race_SAC_dino - return_train","race_SAC_dino - return_train__MIN","race_SAC_dino - return_train__MAX","SAC_power_source_impoola_color - return_train","SAC_power_source_impoola_color - return_train__MIN","SAC_power_source_impoola_color - return_train__MAX","race_SAC - return_train","race_SAC - return_train__MIN","race_SAC - return_train__MAX"
"96","0","0","0","1.7810487747","1.7810487747","1.7810487747","0.0099999988","0.0099999988","0.0099999988","2.0099987984","2.0099987984","2.0099987984","12.3400039673","12.3400039673","12.3400039673"
"97","0","0","0","1.7699987888","1.7699987888","1.7699987888","0.0099999988","0.0099999988","0.0099999988","1.729999423","1.729999423","1.729999423","12.3400039673","12.3400039673","12.3400039673"
"98","0.1399999857","0.1399999857","0.1399999857","4.3277974129","4.3277974129","4.3277974129","0.1699999869","0.1699999869","0.1699999869","2.0499989986","2.0499989986","2.0499989986","5.3899998665","5.3899998665","5.3899998665"
"99","0.1399999857","0.1399999857","0.1399999857","7.6499962807","7.6499962807","7.6499962807","0.1699999869","0.1699999869","0.1699999869","2.5399987698","2.5399987698","2.5399987698","10.75","10.75","10.75"
"100","0.1599999815","0.1599999815","0.1599999815","7.6499962807","7.6499962807","7.6499962807","0.2200000435","0.2200000435","0.2200000435","2.1399991512","2.1399991512","2.1399991512","5.3299980164","5.3299980164","5.3299980164"
"101","0.1599999815","0.1599999815","0.1599999815","7.6499962807","7.6499962807","7.6499962807","0.2200000435","0.2200000435","0.2200000435","2.0499987602","2.0499987602","2.0499987602","5.039999485","5.039999485","5.039999485"
"102","0.0099999988","0.0099999988","0.0099999988","7.6499962807","7.6499962807","7.6499962807","0.2200000435","0.2200000435","0.2200000435","1.8299986124","1.8299986124","1.8299986124","12.3500051498","12.3500051498","12.3500051498"
"103","0.0099999988","0.0099999988","0.0099999988","7.6499962807","7.6499962807","7.6499962807","1.4999988079","1.4999988079","1.4999988079","1.9699990749","1.9699990749","1.9699990749","4.7699980736","4.7699980736","4.7699980736"
"104","0.3600000739","0.3600000739","0.3600000739","2.6579985619","2.6579985619","2.6579985619","1.4999988079","1.4999988079","1.4999988079","2.1899988651","2.1899988651","2.1899988651","4.8399972916","4.8399972916","4.8399972916"
"105","0.3600000739","0.3600000739","0.3600000739","2.5299985409","2.5299985409","2.5299985409","0.4699999094","0.4699999094","0.4699999094","1.669999361","1.669999361","1.669999361","14.0900125504","14.0900125504","14.0900125504"
"106","0.1199999973","0.1199999973","0.1199999973","","","","0.4699999094","0.4699999094","0.4699999094","1.929998517","1.929998517","1.929998517","","",""
"107","0.1199999973","0.1199999973","0.1199999973","1.8954991102","1.8954991102","1.8954991102","0.0500000007","0.0500000007","0.0500000007","2.0099987984","2.0099987984","2.0099987984","13.9100084305","13.9100084305","13.9100084305"
"108","0.0899999812","0.0899999812","0.0899999812","1.5899991989","1.5899991989","1.5899991989","0.0500000007","0.0500000007","0.0500000007","1.7899991274","1.7899991274","1.7899991274","5.1199994087","5.1199994087","5.1199994087"
